Day	Menu	Food
Mon	COMFORT	Grits
Mon	COMFORT	Old Fashioned Oatmeal
Mon	COMFORT	Hash Brown Potato Patty
Mon	COMFORT	Applewood Smoked Bacon
Mon	COMFORT	Pork Sausage Patty
Mon	COMFORT	Turkey Sausage Link
Mon	COMFORT	Southern Biscuit
Mon	COMFORT	Sausage Gravy
Mon	COMFORT	Scrambled Eggs Cage Free
Mon	DESSERT	Blueberry Scone
Mon	DESSERT	Bagel
Mon	DESSERT	Danish Pastry
Mon	DESSERT	English Muffin
Mon	DESSERT	Iced Cinnamon Roll
Mon	DESSERT	Croissant
Mon	DESSERT	White Bread
Mon	DESSERT	Whole Wheat Bread
Mon	DESSERT	Strawberry Preserves
Mon	DESSERT	Peanut Butter
Mon	DESSERT	Bacon Cream Cheese
Mon	DESSERT	Whipped Cream Cheese
Mon	DESSERT	Nutella
Mon	DESSERT	Whipped Butter
Mon	INTERNATIONAL GRILL	Bacon Pieces
Mon	INTERNATIONAL GRILL	Diced Pork Sausage Patty
Mon	INTERNATIONAL GRILL	Diced Turkey
Mon	INTERNATIONAL GRILL	Egg
Mon	INTERNATIONAL GRILL	Egg Whites
Mon	INTERNATIONAL GRILL	Shredded Cheddar Cheese
Mon	INTERNATIONAL GRILL	Shredded Mozzarella
Mon	INTERNATIONAL GRILL	Baby Spinach
Mon	INTERNATIONAL GRILL	Diced Green Peppers
Mon	INTERNATIONAL GRILL	Diced Onions
Mon	INTERNATIONAL GRILL	Diced Tomatoes
Mon	INTERNATIONAL GRILL	Sauteed Mushrooms
Tue	COMFORT	Grilled Ham Steak
Tue	COMFORT	Grits
Tue	COMFORT	Old Fashioned Oatmeal
Tue	COMFORT	Home Fries
Tue	COMFORT	Applewood Smoked Bacon
Tue	COMFORT	Turkey Bacon
Tue	COMFORT	Southern Biscuit
Tue	COMFORT	Sausage Gravy
Tue	COMFORT	Scrambled Eggs Cage Free
Tue	DESSERT	Blueberry Scone
Tue	DESSERT	Bagel
Tue	DESSERT	Danish Pastry
Tue	DESSERT	English Muffin
Tue	DESSERT	Iced Cinnamon Roll
Tue	DESSERT	Croissant
Tue	DESSERT	White Bread
Tue	DESSERT	Whole Wheat Bread
Tue	DESSERT	Strawberry Preserves
Tue	DESSERT	Peanut Butter
Tue	DESSERT	Honey-Walnut Cream Cheese
Tue	DESSERT	Whipped Cream Cheese
Tue	DESSERT	Nutella
Tue	DESSERT	Whipped Butter
Tue	INTERNATIONAL GRILL	Bacon Pieces
Tue	INTERNATIONAL GRILL	Diced Pork Sausage Patty
Tue	INTERNATIONAL GRILL	Diced Turkey
Tue	INTERNATIONAL GRILL	Egg
Tue	INTERNATIONAL GRILL	Egg Whites
Tue	INTERNATIONAL GRILL	Shredded Cheddar Cheese
Tue	INTERNATIONAL GRILL	Shredded Mozzarella
Tue	INTERNATIONAL GRILL	Baby Spinach
Tue	INTERNATIONAL GRILL	Diced Green Peppers
Tue	INTERNATIONAL GRILL	Diced Onions
Tue	INTERNATIONAL GRILL	Diced Tomatoes
Tue	INTERNATIONAL GRILL	Sauteed Mushrooms
Wed	COMFORT	Grits
Wed	COMFORT	Old Fashioned Oatmeal
Wed	COMFORT	Lyonnaise Potatoes
Wed	COMFORT	Applewood Smoked Bacon
Wed	COMFORT	Pork Sausage Patty
Wed	COMFORT	Southern Biscuit
Wed	COMFORT	Turkey Sausage Patty
Wed	COMFORT	Sausage Gravy
Wed	COMFORT	Scrambled Eggs Cage Free
Wed	DESSERT	Blueberry Scone
Wed	DESSERT	Bagel
Wed	DESSERT	Danish Pastry
Wed	DESSERT	English Muffin
Wed	DESSERT	Iced Cinnamon Roll
Wed	DESSERT	Croissant
Wed	DESSERT	White Bread
Wed	DESSERT	Whole Wheat Bread
Wed	DESSERT	Strawberry Preserves
Wed	DESSERT	Peanut Butter
Wed	DESSERT	Garlic Parmesan Spread
Wed	DESSERT	Whipped Cream Cheese
Wed	DESSERT	Nutella
Wed	DESSERT	Whipped Butter
Wed	INTERNATIONAL GRILL	Bacon Pieces
Wed	INTERNATIONAL GRILL	Diced Pork Sausage Patty
Wed	INTERNATIONAL GRILL	Diced Turkey
Wed	INTERNATIONAL GRILL	Egg
Wed	INTERNATIONAL GRILL	Egg Whites
Wed	INTERNATIONAL GRILL	Shredded Cheddar Cheese
Wed	INTERNATIONAL GRILL	Shredded Mozzarella
Wed	INTERNATIONAL GRILL	Baby Spinach
Wed	INTERNATIONAL GRILL	Diced Green Peppers
Wed	INTERNATIONAL GRILL	Diced Onions
Wed	INTERNATIONAL GRILL	Diced Tomatoes
Wed	INTERNATIONAL GRILL	Sauteed Mushrooms
Thu	COMFORT	Grits
Thu	COMFORT	Old Fashioned Oatmeal
Thu	COMFORT	Sweet Potato Home Fries
Thu	COMFORT	Applewood Smoked Bacon
Thu	COMFORT	Pork Sausage Links
Thu	COMFORT	Turkey Bacon
Thu	COMFORT	Southern Biscuit
Thu	COMFORT	Sausage Gravy
Thu	COMFORT	Scrambled Eggs Cage Free
Thu	DESSERT	Blueberry Scone
Thu	DESSERT	Bagel
Thu	DESSERT	Danish Pastry
Thu	DESSERT	English Muffin
Thu	DESSERT	Iced Cinnamon Roll
Thu	DESSERT	Croissant
Thu	DESSERT	White Bread
Thu	DESSERT	Whole Wheat Bread
Thu	DESSERT	Strawberry Preserves
Thu	DESSERT	Peanut Butter
Thu	DESSERT	Sun-Dried Tomato Cream Cheese
Thu	DESSERT	Whipped Cream Cheese
Thu	DESSERT	Nutella
Thu	DESSERT	Whipped Butter
Thu	INTERNATIONAL GRILL	Bacon Pieces
Thu	INTERNATIONAL GRILL	Diced Pork Sausage Patty
Thu	INTERNATIONAL GRILL	Diced Turkey
Thu	INTERNATIONAL GRILL	Egg
Thu	INTERNATIONAL GRILL	Egg Whites
Thu	INTERNATIONAL GRILL	Fried Egg
Thu	INTERNATIONAL GRILL	Shredded Cheddar Cheese
Thu	INTERNATIONAL GRILL	Shredded Mozzarella
